"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD008122",74,"Pattanasin 2003",0.87719298245614,0.763205059787683,0.949171300519977,0.909090909090909,0.861675522544167,0.944377205588601,50,19,7,190
"CD008122",74,"Ratsimbasoa 2007",0.901408450704225,0.807356283698283,0.959433810811647,0.967479674796748,0.918827324378781,0.991069514576982,64,4,7,119
"CD008122",74,"Van den Broek 2006",0.835526315789474,0.766851986709394,0.890642730813277,0.98252688172043,0.970305920288127,0.990664348807386,127,13,25,731
"CD008122",75,"Hopkins 2007",0.878892733564014,0.835610508506273,0.914176109340364,1,0.994152545928955,1,254,0,35,629
"CD008122",75,"Hopkins 2008a",0.882352941176471,0.869605821721694,0.894265118767233,0.91668606004189,0.908020354770965,0.924779917268884,2385,358,318,3939
"CD008122",76,"Chayani 2004",0.96875,0.911381706595421,0.993508815765381,1,0.973240375518799,1,93,0,3,136
"CD008122",76,"Cooke 1999",0.909722222222222,0.850570271412531,0.951051897472806,0.949416342412451,0.915053764669812,0.972795152478645,131,13,13,244
"CD008122",76,"Dev 2004",0.811764705882353,0.712394024344051,0.888405115464154,1,0.933968067169189,1,69,0,16,54
"CD008122",76,"Gerstl 2009",0.994082840236686,0.967473972478562,0.999850120770155,0.959770114942529,0.918870029778316,0.98367471804564,168,7,1,167
"CD008122",76,"Hopkins 2007",0.878892733564014,0.835610508506273,0.914176109340364,1,0.994152545928955,1,254,0,35,629
"CD008122",76,"Hopkins 2008a",0.882352941176471,0.869605821721694,0.894265118767233,0.91668606004189,0.908020354770965,0.924779917268884,2385,358,318,3939
"CD008122",76,"Iqbal 2003",0.847328244274809,0.774104915502417,0.904179755057997,0.996245306633292,0.98906687472729,0.999224952821887,111,3,20,796
"CD008122",76,"Kolaczinski 2004",0.8,0.614333724975586,0.922864151000977,0.997867803837953,0.9881777204176,0.999946122484675,24,1,6,468
"CD008122",76,"Mens 2007a",1,0.292401790618896,1,1,0.975866794586182,1,3,0,0,151
"CD008122",76,"Mens 2007b",0.966666666666667,0.884718910853068,0.995937347412109,0.975806451612903,0.930924004124057,0.994982688657699,58,3,2,121
"CD008122",76,"Pattanasin 2003",0.87719298245614,0.763205059787683,0.949171300519977,0.909090909090909,0.861675522544167,0.944377205588601,50,19,7,190
"CD008122",76,"Ratsimbasoa 2007",0.943661971830986,0.861988705648503,0.98443818428147,0.902439024390244,0.835781713811363,0.948565599395008,67,12,4,111
"CD008122",76,"Singh 2003a",0.958333333333333,0.788798312346141,0.998945554097494,1,0.93625020980835,1,23,0,1,56
"CD008122",76,"Singh 2003b",0.977272727272727,0.879758043722673,0.999424674294212,0.935483870967742,0.785783844609414,0.992088563980595,43,2,1,29
"CD008122",76,"Valecha 2003",0.87962962962963,0.828621100496363,0.919842931959364,0.989648033126294,0.97600867980262,0.996630745644895,190,5,26,478
"CD008122",76,"Van den Broek 2006",0.835526315789474,0.766851986709394,0.890642730813277,0.98252688172043,0.970305920288127,0.990664348807386,127,13,25,731
"CD008122",77,"Mekonnen 2010",0.964285714285714,0.876868537494114,0.995644978114537,1,0.980151653289795,1,54,0,2,184
"CD008122",77,"Sharew 2009",0.994047619047619,0.967283274446215,0.999849228631882,0.98,0.963527193069458,0.990368347167969,167,10,1,490
"CD008122",78,"Forney 2003",0.960227272727273,0.919772904027592,0.983862053264271,0.933621933621934,0.912451131003243,0.950996597091873,169,46,7,647
"CD008122",78,"Mekonnen 2010",0.964285714285714,0.876868537494114,0.995644978114537,1,0.980151653289795,1,54,0,2,184
"CD008122",78,"Sharew 2009",0.994047619047619,0.967283274446215,0.999849228631882,0.98,0.963527193069458,0.990368347167969,167,10,1,490
"CD008122",79,"A-Elgayoum 2009",1,0.876563549041748,1,1,0.990389347076416,1,28,0,0,382
"CD008122",79,"Abeku 2008a",0.909688013136289,0.884068943205334,0.931240394980645,0.64968152866242,0.610937355430263,0.687010376316726,554,220,55,408
"CD008122",79,"Abeku 2008b",0.9,0.55498423576355,0.997471237182617,0.998989898989899,0.99438497032782,0.999974846117424,9,1,1,989
"CD008122",79,"Banchongaksorn 1996a",0.933884297520661,0.894851475707755,0.96174028885266,0.982116244411326,0.968969391284152,0.990726021824935,226,12,16,659
"CD008122",79,"Banchongaksorn 1997",0.966074313408724,0.948606541930955,0.978879013431284,0.992706053975201,0.988757765440937,0.995538779717132,598,20,21,2722
"CD008122",79,"Bechem 1999",0.98,0.929616136550903,0.997568664550781,0.828282828282828,0.739361242814498,0.896666998815055,98,17,2,82
"CD008122",79,"Bell 2001a",0.971698113207547,0.919513320023159,0.994124646456736,0.737704918032787,0.677778564515661,0.791755301053407,103,64,3,180
"CD008122",79,"Bell 2001b",0.857142857142857,0.673347064426967,0.95966420854841,0.835294117647059,0.739118783614215,0.906923496021944,24,14,4,71
